"[[1, 1, 0], [0, 0, 0], [0, 0, 2]]","[[1, 1, 0], [0, 0, 0], [0, 0, 2]]",1,[],0700e87b-cc34-462e-bfb8-8a14c8da0b94
"[[1, 1, 0], [0, 0, 0], [0, 0, 2]]","[[1, 1, 0], [0, 0, 0], [0, 0, 2]]",2,[],0700e87b-cc34-462e-bfb8-8a14c8da0b94
"[[1, 1, 0], [0, 0, 0], [0, 0, 2]]","[[1, 1, 1], [0, 0, 0], [0, 0, 2]]",1,['exploit_command'],0700e87b-cc34-462e-bfb8-8a14c8da0b94
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],1f490d5a-0199-4fef-a44f-c036bf82b23c
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",2,[],1f490d5a-0199-4fef-a44f-c036bf82b23c
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",1,"['use_command', 'set_command']",1f490d5a-0199-4fef-a44f-c036bf82b23c
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",2,[],1f490d5a-0199-4fef-a44f-c036bf82b23c
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [0, 0, 0], [0, 0, 0]]",1,['exploit_command'],1f490d5a-0199-4fef-a44f-c036bf82b23c
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],d4dd3e49-52c1-46d7-9c2e-5b99c551be6e
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",2,[],d4dd3e49-52c1-46d7-9c2e-5b99c551be6e
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],d4dd3e49-52c1-46d7-9c2e-5b99c551be6e
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",2,[],d4dd3e49-52c1-46d7-9c2e-5b99c551be6e
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",1,[],d4dd3e49-52c1-46d7-9c2e-5b99c551be6e
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",2,[],d4dd3e49-52c1-46d7-9c2e-5b99c551be6e
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 1], [0, 0, 0], [0, 0, 0]]",1,['exploit_command'],d4dd3e49-52c1-46d7-9c2e-5b99c551be6e
"[[0, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",1,['scan_command'],1ee972c4-fdaf-4fba-885a-8ec03f92d679
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 0, 0], [0, 0, 0], [0, 0, 0]]",2,[],1ee972c4-fdaf-4fba-885a-8ec03f92d679
"[[1, 0, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",1,"['use_command', 'set_command']",1ee972c4-fdaf-4fba-885a-8ec03f92d679
"[[1, 1, 0], [0, 0, 0], [0, 0, 0]]","[[1, 1, 0], [0, 0, 0], [0, 0, 0]]",2,[],1ee972c4-fdaf-4fba-885a-8ec03f92d679
